C:\Users\VolkanDogan\Desktop\Simulator\IMG\center_2019_06_01_13_09_47_133.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\left_2019_06_01_13_09_47_133.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\right_2019_06_01_13_09_47_133.jpg,0,0,0,5.1195E-06
C:\Users\VolkanDogan\Desktop\Simulator\IMG\center_2019_06_01_13_09_47_203.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\left_2019_06_01_13_09_47_203.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\right_2019_06_01_13_09_47_203.jpg,0,0,0,9.207305E-06
C:\Users\VolkanDogan\Desktop\Simulator\IMG\center_2019_06_01_13_09_47_275.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\left_2019_06_01_13_09_47_275.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\right_2019_06_01_13_09_47_275.jpg,0,0,0,1.303041E-05
C:\Users\VolkanDogan\Desktop\Simulator\IMG\center_2019_06_01_13_09_47_350.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\left_2019_06_01_13_09_47_350.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\right_2019_06_01_13_09_47_350.jpg,0,0,0,8.288516E-06
C:\Users\VolkanDogan\Desktop\Simulator\IMG\center_2019_06_01_13_09_47_421.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\left_2019_06_01_13_09_47_421.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\right_2019_06_01_13_09_47_421.jpg,0,0,0,8.389533E-06
C:\Users\VolkanDogan\Desktop\Simulator\IMG\center_2019_06_01_13_09_47_493.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\left_2019_06_01_13_09_47_493.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\right_2019_06_01_13_09_47_493.jpg,0,0,0,2.368109E-06
C:\Users\VolkanDogan\Desktop\Simulator\IMG\center_2019_06_01_13_09_47_564.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\left_2019_06_01_13_09_47_564.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\right_2019_06_01_13_09_47_564.jpg,0,0,0,6.690774E-06
C:\Users\VolkanDogan\Desktop\Simulator\IMG\center_2019_06_01_13_09_47_635.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\left_2019_06_01_13_09_47_635.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\right_2019_06_01_13_09_47_635.jpg,0,0,0,5.758653E-06
C:\Users\VolkanDogan\Desktop\Simulator\IMG\center_2019_06_01_13_09_47_708.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\left_2019_06_01_13_09_47_708.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\right_2019_06_01_13_09_47_708.jpg,0,0,0,5.194875E-06
C:\Users\VolkanDogan\Desktop\Simulator\IMG\center_2019_06_01_13_09_47_781.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\left_2019_06_01_13_09_47_781.jpg,C:\Users\VolkanDogan\Desktop\Simulator\IMG\right_2019_06_01_13_09_47_781.jpg,0,0,0,6.357813E-06
